letter_id,date_written,location,unit,page_count,status,status_label,transcribed_by,source_zip_folder,source_pdf,image_count,image_originals,scan_sessions,scan_session_count,folder
L01,1940-04-14,"U.S. Naval Training Station, Great Lakes, Ill.",Company 26,4,transcribed,Transcribed (from family PDF),family (pre-2023),"(transcribed) April 15, 1940","Love Letters From the War.pdf, p1",4,0.JPG;1.JPG;2.JPG;3.JPG,,0,L01_1940-04-14_great-lakes
L02,1940-04-20,"U.S. Naval Training Station, Great Lakes, Ill.",Company 26,5,transcribed,Transcribed (from family PDF),family (pre-2023),"(Transcribed) April 20th, 1940","Love Letters From the War.pdf, p1-2",5,IMG_9195.JPG;IMG_9196.JPG;IMG_9197.JPG;IMG_9198.JPG;IMG_9199.JPG,,0,L02_1940-04-20_great-lakes
L03,1940-04-27,"U.S. Naval Training Station, Great Lakes, Ill.",Company 26,4,transcribed,Transcribed (from family PDF),family (pre-2023),"(Transcribed) April 28, 1940","Love Letters From the War.pdf, p2-3",4,IMG_9184.JPG;IMG_9185.JPG;IMG_9186.JPG;IMG_9187.JPG,,0,L03_1940-04-27_great-lakes
L04,1940-05-04,"U.S. Naval Training Station, Great Lakes, Ill.",Company 26,3,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ May 5th, 1940","Love Letters From the War.pdf, p4-5",3,IMG_9188.JPG;IMG_9189.JPG;IMG_9190.JPG,,0,L04_1940-05-04_great-lakes
L05,1940-05-10,"U.S. N.T.S, Great Lakes, Ill.",Company 26,3,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ June 10th, 1940","Love Letters From the War.pdf, p5-6",3,IMG_9204.JPG;IMG_9205.JPG;IMG_9206.JPG,,0,L05_1940-05-10_great-lakes
L06,1940-05-17,"U.S. N.T.S, Great Lakes, Ill.",Company 28,4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ May 16th, 1940","Love Letters From the War.pdf, p6-7",4,IMG_9191.JPG;IMG_9192.JPG;IMG_9193.JPG;IMG_9194.JPG,,0,L06_1940-05-17_great-lakes
L07,1940-05-30,"U.S. Naval Training St., Great Lakes, Illinois",Company 28,4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ May 31st, 1940","Love Letters From the War.pdf, p7-8",4,IMG_9200.JPG;IMG_9201.JPG;IMG_9202.JPG;IMG_9203.JPG,,0,L07_1940-05-30_great-lakes
L08,1940-06-18,"U.S. Naval Training Sta., Company 28, Great Lakes, Illinois (return address)",Company 28,5,envelope_only,Envelope only (letter content missing),n/a (envelope only),"Transcribed_ June 18th, 1940",,5,IMG_9207.JPG;IMG_9208.JPG;IMG_9209.JPG;IMG_9210.JPG;IMG_9211.JPG,,0,L08_1940-06-18_envelope-only
L09,1940-07-02,"U.S. Naval Training St., Out Going Unit, Great Lakes, Ill.",Out Going Unit,4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ July 3rd, 1940","Love Letters From the War.pdf, p9-10",4,IMG_9212.JPG;IMG_9213.JPG;IMG_9214.JPG;IMG_9215.JPG,,0,L09_1940-07-02_great-lakes
L10,1940-07-09,"U.S. Naval Training Station, Great Lakes, Ill.",(transitioning to USS New Orleans),3,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ July 9th, 1940","Love Letters From the War.pdf, p10-11",3,IMG_9216.JPG;IMG_9217.JPG;IMG_9218.JPG,,0,L10_1940-07-09_great-lakes
L11,1940-07-14,"U.S. Receiving Ship, Destroyer Base, San Diego, Calif.",(awaiting transfer to USS New Orleans),4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ July 14th, 1940","Love Letters From the War.pdf, p11-12",4,IMG_9219.JPG;IMG_9220.JPG;IMG_9221.JPG;IMG_9222.JPG,,0,L11_1940-07-14_san-diego
L12,1940-07-19,"U.S. Destroyer Base, San Diego, Calif.",(awaiting transfer to USS New Orleans),3,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ July 20th, 1940","Love Letters From the War.pdf, p12-13",3,IMG_9223.JPG;IMG_9224.JPG;IMG_9225.JPG,2022-07-04,1,L12_1940-07-19_san-diego
L13,1940-08-18,"U.S.S. New Orleans, Pearl Harbor Honolulu, T.H.",Division F,5,transcribed_partial,Partially transcribed (PDF incomplete — verify back-of-front-page in IMG_9230),"family (pre-2023, partial)","(PARTIALLY Transcribed) August 18th, 1940","Love Letters From the War.pdf, p13-14",5,IMG_9226.JPG;IMG_9227.JPG;IMG_9228.JPG;IMG_9229.JPG;IMG_9230.JPG,2022-07-04,1,L13_1940-08-18_pearl-harbor
L14,1940-09-29,"U.S.S. New Orleans, Pearl Harbor, Honolulu, T.H.",F. Division,4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ September 30th, 1940","Love Letters From the War.pdf, p14-15",4,IMG_9231.JPG;IMG_9232.JPG;IMG_9233.JPG;IMG_9234.JPG,2022-07-04,1,L14_1940-09-29_pearl-harbor
L15,1940-10-19,"U.S.S. New Orleans, Pearl Harbor, Honolulu, T.H.",F Division,5,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ October 20th, 1940","Love Letters From the War.pdf, p16-17",5,IMG_9235.JPG;IMG_9236.JPG;IMG_9237.JPG;IMG_9238.JPG;IMG_9239.JPG,2022-07-04,1,L15_1940-10-19_pearl-harbor
L16,1940-10-23,"U.S.S. New Orleans, Pearl Harbor, Honolulu T.H.",F Division,5,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ October 22nd, 1940","Love Letters From the War.pdf, p18-19",5,IMG_9240.JPG;IMG_9241.JPG;IMG_9242.JPG;IMG_9243.JPG;IMG_9244.JPG,2022-07-04,1,L16_1940-10-23_pearl-harbor
L17,1940-10-28,"U.S.S. New Orleans, Pearl Harbor, Honolulu, T.H.",F Division,3,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ October 27th, 1940","Love Letters From the War.pdf, p20-21",3,IMG_9245.JPG;IMG_9246.JPG;IMG_9247.JPG,2022-07-04,1,L17_1940-10-28_pearl-harbor
L18,1940-11-02,"U.S.S. New Orleans, Pearl Harbor, Honolulu T.H.",F Division,4,transcribed,Transcribed (from family PDF),family (pre-2023),"Transcribed_ November 3rd, 1940","Love Letters From the War.pdf, p21-22",4,IMG_9262.JPG;IMG_9263.JPG;IMG_9264.JPG;IMG_9265.JPG,2022-07-04,1,L18_1940-11-02_pearl-harbor
L19,1940-11-17,U.S.S. New Orleans (return),(USS New Orleans),1,envelope_only,Envelope only (letter content missing),n/a (envelope only),"NO LETTER_ November 17th, 1940",,1,IMG_9261.JPG,2022-07-04,1,L19_1940-11-17_envelope-only
L20,1940-11-27,"U.S.S. New Orleans, Pearl Harbor, Honolulu T.H.",F. Division,5,transcribed_draft,Vision-OCR draft (review uncertain words),claude-vision-draft,"November 27th, 1940",,5,IMG_9256.JPG;IMG_9257.JPG;IMG_9258.JPG;IMG_9259.JPG;IMG_9260.JPG,2022-07-04,1,L20_1940-11-27_pearl-harbor
L21,1940-12-15,"(mailed from San Diego, CA — likely while ship was in port)",(USS New Orleans),3,christmas_card,Christmas card (printed verse + handwritten signature),vision (printed text + Gene's signature),"December 15th, 1940",,3,IMG_9249.JPG;IMG_9250.JPG;IMG_9251.JPG,2022-07-04,1,L21_1940-12-15_pearl-harbor
L22,1940-12-25,"Honolulu (sent via mail from San Pedro, Calif.) — Postal Telegraph",(USS New Orleans),1,telegram,Christmas telegram (not a letter),vision (telegram is typed),"December 25th, 1940",,1,IMG_9248.JPG,2022-07-04,1,L22_1940-12-25_honolulu-telegram
L23,1940-12-29,"U.S.S. New Orleans, Pearl Harbor, Honolulu T.H.",F. Division,4,transcribed_draft,Vision-OCR draft (review uncertain words),claude-vision-draft,"December 29th, 1940",,4,IMG_9252.JPG;IMG_9253.JPG;IMG_9254.JPG;IMG_9255.JPG,2022-07-04,1,L23_1940-12-29_pearl-harbor
L24,1941-12-20,"U.S.S. New Orleans, Pearl Harbor, Honolulu T.H.",F Division,3,transcribed,"Transcribed (from Blake's iPhone photographs, 2026)",blake-2026,,,3,IMG_chat_p1.JPG;IMG_chat_p2.JPG;IMG_chat_p3.JPG,2026-04-27,1,L24_1941-12-20_pearl-harbor
